Bromeliad	Carbon	Scenario	Time	Block	Abs
36	9	4	0	2	0.016
36	27	4	0	2	0.005
36	28	4	0	2	0.007
36	21	4	0	2	0.000
36	25	4	0	2	0.004
36	20	4	0	2	-0.011
36	13	4	0	2	0.120
36	15	4	0	2	0.023
36	7	4	0	2	0.063
36	12	4	0	2	0.004
36	4	4	0	2	-0.024
36	11	4	0	2	-0.019
36	30	4	0	2	0.055
36	22	4	0	2	0.072
36	23	4	0	2	0.172
36	8	4	0	2	0.197
36	3	4	0	2	0.176
36	29	4	0	2	0.332
40	31	4	0	3	0.140
40	5	4	0	3	0.113
40	16	4	0	3	0.508
40	17	4	0	3	0.035
40	6	4	0	3	0.146
40	10	4	0	3	0.085
40	24	4	0	3	0.292
40	26	4	0	3	0.155
40	14	4	0	3	0.013
40	1	4	0	3	0.138
40	18	4	0	3	0.066
40	19	4	0	3	0.076
40	2	4	0	3	0.019
40	9	4	0	3	0.023
40	27	4	0	3	0.063
40	28	4	0	3	0.022
40	21	4	0	3	-0.001
40	25	4	0	3	0.039
40	20	4	0	3	0.008
40	13	4	0	3	0.005
40	15	4	0	3	0.014
40	7	4	0	3	0.016
40	12	4	0	3	-0.005
40	4	4	0	3	-0.004
40	11	4	0	3	0.000
40	30	4	0	3	0.032
40	22	4	0	3	0.012
40	23	4	0	3	-0.004
40	8	4	0	3	-0.005
40	3	4	0	3	-0.001
40	29	4	0	3	0.005
44	31	4	0	3	0.247
44	5	4	0	3	0.200
44	16	4	0	3	0.298
44	17	4	0	3	-0.006
44	6	4	0	3	0.065
44	10	4	0	3	-0.014
44	24	4	0	3	0.059
44	26	4	0	3	0.452
44	14	4	0	3	0.297
44	1	4	0	3	0.243
44	18	4	0	3	0.232
44	19	4	0	3	-0.001
44	2	4	0	3	-0.015
44	9	4	0	3	-0.009
44	27	4	0	3	-0.004
44	28	4	0	3	0.021
44	21	4	0	3	-0.010
44	25	4	0	3	0.020
44	20	4	0	3	0.003
44	13	4	0	3	-0.014
44	15	4	0	3	-0.019
44	7	4	0	3	-0.015
44	12	4	0	3	-0.015
44	4	4	0	3	0.011
44	11	4	0	3	0.016
44	30	4	0	3	0.005
44	22	4	0	3	0.001
44	23	4	0	3	0.042
44	8	4	0	3	0.027
44	3	4	0	3	0.043
44	29	4	0	3	-0.009
6	31	3	0	4	-0.056
6	5	3	0	4	0.646
6	16	3	0	4	0.710
6	17	3	0	4	0.928
6	6	3	0	4	0.005
6	10	3	0	4	0.625
6	24	3	0	4	0.067
6	26	3	0	4	0.278
6	14	3	0	4	-0.037
6	1	3	0	4	0.007
6	18	3	0	4	-0.063
6	19	3	0	4	0.048
6	2	3	0	4	0.502
6	9	3	0	4	-0.132
6	27	3	0	4	1.005
6	28	3	0	4	-0.038
6	21	3	0	4	0.027
6	25	3	0	4	-0.098
6	20	3	0	4	0.003
6	13	3	0	4	-0.137
6	15	3	0	4	-0.181
6	7	3	0	4	-0.097
6	12	3	0	4	-0.177
6	4	3	0	4	-0.114
6	11	3	0	4	-0.108
6	30	3	0	4	-0.106
6	22	3	0	4	-0.077
6	23	3	0	4	-0.213
6	8	3	0	4	-0.219
6	3	3	0	4	-0.195
